"TARGET_FLAG","TARGET_AMT","KIDSDRIV","AGE","HOMEKIDS","YOJ","PARENT1","TRAVTIME","CAR_USE","TIF","RED_CAR","CLM_FREQ","REVOKED","MVR_PTS","CAR_AGE","INCOME","HOME_VAL","BLUEBOOK","OLDCLAIM","MSTATUS","SEX","EDUCATION","JOB","CAR_TYPE","URBANICITY"
1,5711,0,34,3,0,"No",25,"Private",9,"no",2,"No",2,1,0,66358,11740,1800,"Yes","F","High School","Home Maker","SUV","Highly Urban/ Urban"
0,0,0,36,0,11,"No",24,"Private",7,"yes",3,"Yes",4,17,105384,267509,13800,31695,"Yes","M","Masters","Professional","Minivan","Highly Urban/ Urban"
1,13105.327626,0,41,0,10,"No",59,"Private",4,"yes",0,"No",1,9,66265,159276,12230,0,"Yes","M","Masters","Lawyer","Minivan","Highly Urban/ Urban"
1,4061,0,46,0,7,"No",17,"Commercial",13,"yes",3,"No",6,17,54028,161160,23350,4678,"No","M","Masters","","Panel Truck","Highly Urban/ Urban"
0,0,0,42,0,9,"No",18,"Commercial",13,"yes",0,"No",0,14,76226,217920,23390,0,"Yes","M","Bachelors","Blue Collar","Panel Truck","Highly Urban/ Urban"
0,0,1,38,3,16,"No",26,"Private",1,"yes",0,"No",0,8,7528,113809,8080,0,"Yes","M","<High School","Clerical","Pickup","Highly Rural/ Rural"
1,7838,0,33,4,0,"Yes",14,"Commercial",1,"yes",1,"No",2,5,0,0,15090,1631,"No","M","High School","Student","Minivan","Highly Urban/ Urban"
1,3660,0,37,0,0,"No",48,"Commercial",7,"no",0,"No",3,6,54028,73890,12850,0,"Yes","F","Bachelors","Student","SUV","Highly Urban/ Urban"
0,0,1,42,1,9,"No",63,"Private",1,"no",0,"No",2,14,32797,160661,21690,0,"Yes","F","Masters","Lawyer","Minivan","Highly Urban/ Urban"
1,5125,0,47,0,11,"No",50,"Private",1,"no",2,"No",0,10,44705,217885,12840,1533,"Yes","F","Bachelors","Professional","SUV","Highly Urban/ Urban"
0,0,0,52,0,9,"No",36,"Commercial",1,"no",0,"No",3,10,68992,216986,15120,0,"No","F","Bachelors","Blue Collar","Minivan","Highly Rural/ Rural"
0,0,0,43,0,11,"No",8,"Commercial",16,"no",1,"No",0,1,132561,314433,30150,12294,"No","M","Masters","Professional","Panel Truck","Highly Urban/ Urban"
0,0,0,66,1,17,"No",23,"Private",7,"no",0,"No",0,16,96830,325826,11180,0,"Yes","M","Masters","Professional","SUV","Highly Urban/ Urban"
1,2143,0,52,0,7,"No",33,"Commercial",4,"yes",3,"No",1,5,64014,244863,7900,8882,"Yes","M","<High School","Blue Collar","Pickup","Highly Urban/ Urban"
0,0,1,38,1,7,"No",40,"Private",4,"no",0,"No",0,10,54028,0,7050,0,"Yes","F","High School","Student","Sports Car","Highly Rural/ Rural"
0,0,0,47,0,14,"No",48,"Private",1,"yes",0,"No",0,13,54028,276241,21320,0,"Yes","M","Bachelors","Manager","Van","Highly Urban/ Urban"
0,0,0,37,0,12,"No",14,"Commercial",1,"no",0,"No",0,NA,123520,383731,17550,0,"Yes","M","Bachelors","Blue Collar","Van","Highly Urban/ Urban"
0,0,0,47,0,13,"No",33,"Commercial",6,"yes",0,"No",0,NA,45257,160051,29210,0,"Yes","M","Bachelors","Clerical","Panel Truck","Highly Urban/ Urban"
0,0,1,61,2,17,"No",35,"Private",1,"no",0,"No",0,21,41857,169015,20870,0,"Yes","F","Masters","Manager","Sports Car","Highly Urban/ Urban"
1,2114,0,41,1,8,"Yes",34,"Commercial",3,"no",0,"No",2,18,126468,0,32690,0,"No","F","Masters","Manager","Pickup","Highly Urban/ Urban"
0,0,3,40,3,9,"No",53,"Commercial",5,"no",0,"Yes",0,6,75516,247673,13050,0,"Yes","F","High School","Blue Collar","Sports Car","Highly Rural/ Rural"
0,0,0,52,0,16,"No",44,"Private",6,"yes",0,"Yes",0,11,76954,249290,19540,0,"No","M","Bachelors","Professional","Minivan","Highly Urban/ Urban"
0,0,0,58,1,8,"No",21,"Private",6,"no",0,"No",0,17,150352,421665,24240,0,"Yes","F","Masters","Manager","Pickup","Highly Urban/ Urban"
1,8671,1,38,1,12,"No",36,"Private",7,"no",2,"No",0,1,37580,173495,5260,867,"Yes","F","<High School","Clerical","SUV","Highly Urban/ Urban"
1,6287,0,41,2,15,"No",10,"Private",1,"no",0,"No",1,1,23344,147172,7930,0,"Yes","M","High School","Blue Collar","Pickup","Highly Urban/ Urban"
0,0,0,37,0,16,"No",29,"Private",1,"no",0,"No",0,10,43290,158771,23640,0,"Yes","F","Bachelors","Blue Collar","SUV","Highly Urban/ Urban"
0,0,0,48,0,10,"No",24,"Private",9,"yes",0,"No",1,1,48737,220264,11220,0,"Yes","M","Bachelors","Manager","Pickup","Highly Urban/ Urban"
0,0,0,47,0,12,"No",26,"Private",18,"no",4,"No",3,9,64259,202031,25100,9526,"Yes","M","High School","Clerical","Minivan","Highly Urban/ Urban"
0,0,0,41,0,6,"No",5,"Private",1,"yes",0,"No",0,1,12541,0,7500,0,"No","M","<High School","Clerical","Minivan","Highly Rural/ Rural"
0,0,0,47,0,12,"No",40,"Commercial",4,"yes",0,"No",0,11,104271,265153,36120,0,"Yes","M","Masters","","Panel Truck","Highly Urban/ Urban"
0,0,0,44,1,11,"No",49,"Private",1,"no",0,"No",0,16,67278,220556,20210,0,"Yes","F","Masters","Lawyer","Minivan","Highly Rural/ Rural"
0,0,0,46,0,10,"No",40,"Private",13,"no",0,"No",0,7,104990,306540,16080,0,"No","F","Bachelors","Professional","SUV","Highly Urban/ Urban"
0,0,0,49,0,6,"No",37,"Private",7,"no",0,"No",4,9,89948,0,18160,0,"No","F","Bachelors","Professional","SUV","Highly Urban/ Urban"
0,0,0,33,1,12,"No",35,"Commercial",1,"no",0,"No",3,4,111427,321483,28180,0,"Yes","F","Masters","","Van","Highly Urban/ Urban"
1,1807,1,43,2,11,"Yes",52,"Private",4,"no",0,"Yes",0,NA,76159,0,19750,0,"No","F","Bachelors","Professional","SUV","Highly Urban/ Urban"
0,0,0,62,0,6,"No",54,"Private",3,"no",0,"No",0,15,107734,0,18470,0,"No","F","PhD","Lawyer","SUV","Highly Urban/ Urban"
1,10593.946633,0,42,0,0,"No",47,"Commercial",11,"yes",0,"No",5,1,0,161160,5700,0,"No","M","<High School","Student","Pickup","Highly Urban/ Urban"
0,0,0,36,2,12,"Yes",38,"Private",1,"no",0,"No",0,1,25282,0,11160,0,"No","F","High School","Clerical","SUV","Highly Rural/ Rural"
0,0,0,47,0,11,"No",24,"Private",7,"no",0,"No",0,14,18549,116136,12800,0,"Yes","M","Masters","Lawyer","Minivan","Highly Urban/ Urban"
0,0,0,50,0,14,"No",11,"Commercial",13,"yes",0,"No",0,7,54028,147191,17300,0,"Yes","M","High School","Clerical","Van","Highly Urban/ Urban"
0,0,0,51,0,9,"No",32,"Commercial",1,"no",3,"Yes",0,1,50166,187297,11620,50701,"No","M","High School","Blue Collar","Pickup","Highly Urban/ Urban"
0,0,0,46,0,8,"No",43,"Private",4,"no",0,"No",0,16,73872,245878,20240,0,"Yes","F","Masters","Lawyer","Sports Car","Highly Rural/ Rural"
0,0,0,50,0,14,"No",60,"Private",1,"no",2,"No",4,8,73343,254600,20010,4179,"Yes","F","High School","Manager","Minivan","Highly Urban/ Urban"
1,6158,0,43,2,15,"Yes",35,"Private",1,"no",3,"No",4,20,49849,0,13130,3622,"No","F","Masters","Lawyer","SUV","Highly Urban/ Urban"
1,4887,1,39,1,16,"No",28,"Commercial",4,"no",2,"Yes",4,1,12054,0,15760,1738,"Yes","F","<High School","Student","Pickup","Highly Urban/ Urban"
0,0,0,43,3,14,"No",50,"Commercial",12,"no",2,"No",5,1,48184,209188,14530,6891,"Yes","F","High School","Blue Collar","Sports Car","Highly Urban/ Urban"
1,5147,0,60,3,18,"No",40,"Private",6,"no",0,"No",0,15,78936,235670,20350,0,"Yes","F","Masters","Lawyer","SUV","Highly Urban/ Urban"
0,0,0,55,0,0,"No",33,"Private",4,"no",0,"No",0,1,0,0,7000,0,"No","M","<High School","Student","Pickup","Highly Rural/ Rural"
0,0,0,40,0,10,"No",36,"Private",10,"no",2,"No",6,10,78914,229055,5500,6803,"No","F","Bachelors","Manager","SUV","Highly Urban/ Urban"
0,0,0,39,0,6,"No",49,"Private",7,"no",0,"No",1,13,77125,210840,9570,0,"Yes","F","Bachelors","Clerical","Sports Car","Highly Urban/ Urban"
0,0,0,38,0,14,"No",29,"Private",6,"yes",0,"No",1,12,25835,109685,8490,0,"Yes","M","High School","Clerical","Pickup","Highly Urban/ Urban"
0,0,0,42,0,12,"No",31,"Private",7,"yes",2,"No",6,18,47660,180206,11940,974,"Yes","M","Masters","Professional","Pickup","Highly Urban/ Urban"
0,0,0,42,0,10,"No",16,"Private",4,"no",0,"No",3,14,123143,306368,24930,0,"No","F","Masters","Manager","Minivan","Highly Urban/ Urban"
0,0,0,49,0,8,"No",24,"Commercial",11,"no",0,"No",1,1,22059,123924,21990,0,"Yes","F","<High School","Clerical","Pickup","Highly Urban/ Urban"
0,0,1,36,1,12,"Yes",26,"Private",7,"no",3,"No",7,14,50750,0,10170,5877,"No","F","Masters","Manager","SUV","Highly Urban/ Urban"
0,0,0,34,1,10,"Yes",35,"Commercial",7,"yes",0,"No",0,7,23571,0,12180,0,"No","M","High School","Clerical","Pickup","Highly Urban/ Urban"
0,0,0,49,0,0,"No",29,"Private",7,"no",0,"No",1,1,0,79913,18110,0,"Yes","F","PhD","Home Maker","SUV","Highly Urban/ Urban"
0,0,0,52,0,12,"No",39,"Private",10,"yes",0,"No",0,1,35631,155972,6040,0,"Yes","M","High School","Clerical","Minivan","Highly Urban/ Urban"
0,0,0,50,0,11,"No",37,"Private",4,"yes",0,"No",0,NA,129234,0,21200,0,"No","M","PhD","Doctor","Van","Highly Urban/ Urban"
0,0,0,53,0,12,"No",16,"Private",10,"no",1,"No",2,7,54028,0,11650,6175,"No","F","<High School","Clerical","SUV","Highly Urban/ Urban"
0,0,0,55,0,14,"No",45,"Commercial",4,"no",0,"No",0,14,55409,162237,27890,0,"Yes","M","Bachelors","Blue Collar","Panel Truck","Highly Rural/ Rural"
0,0,0,40,4,15,"Yes",21,"Private",8,"no",0,"No",0,8,48067,186025,18120,0,"No","F","Bachelors","Clerical","Minivan","Highly Urban/ Urban"
0,0,0,45,2,12,"No",21,"Private",1,"no",0,"No",0,10,64867,210631,12490,0,"Yes","F","Masters","Lawyer","SUV","Highly Urban/ Urban"
0,0,0,80,2,23,"No",14,"Private",13,"yes",0,"No",2,10,97716,389344,15920,0,"Yes","M","Bachelors","Professional","Minivan","Highly Urban/ Urban"
0,0,0,48,0,10,"No",48,"Commercial",10,"yes",2,"No",6,1,39613,159534,8460,7437,"Yes","M","High School","Blue Collar","Pickup","Highly Urban/ Urban"
0,0,0,37,0,11,"No",69,"Private",1,"yes",0,"No",1,NA,54028,161160,14130,0,"No","M","High School","Student","Minivan","Highly Rural/ Rural"
0,0,0,40,0,11,"No",52,"Private",6,"no",0,"No",0,1,49780,0,10500,0,"No","F","<High School","Clerical","Sports Car","Highly Rural/ Rural"
0,0,0,45,0,11,"No",31,"Private",4,"no",0,"No",0,18,60845,0,24260,0,"No","F","Bachelors","Manager","Minivan","Highly Urban/ Urban"
1,6087,0,42,0,12,"No",45,"Private",1,"no",0,"No",0,17,136344,0,13160,0,"No","F","PhD","Doctor","Sports Car","Highly Urban/ Urban"
0,0,0,36,0,7,"No",55,"Private",6,"no",3,"No",5,4,70313,211506,14960,7650,"Yes","F","Bachelors","Professional","Minivan","Highly Urban/ Urban"
0,0,0,45,3,15,"Yes",9,"Commercial",7,"no",0,"No",0,1,23773,0,34510,0,"No","F","High School","Home Maker","Van","Highly Rural/ Rural"
0,0,0,52,0,11,"No",28,"Private",6,"no",0,"No",0,11,115713,327167,21660,0,"No","F","Bachelors","Professional","Sports Car","Highly Rural/ Rural"
0,0,0,41,0,8,"No",17,"Commercial",1,"yes",0,"No",3,1,55364,0,31390,0,"No","M","High School","Clerical","Panel Truck","Highly Rural/ Rural"
0,0,0,36,0,14,"No",37,"Private",10,"no",1,"No",4,7,27693,130324,11300,19385,"Yes","F","<High School","Clerical","Sports Car","Highly Urban/ Urban"
0,0,0,56,0,0,"No",29,"Private",13,"no",2,"No",0,9,0,103058,27890,25147,"Yes","F","Bachelors","Home Maker","SUV","Highly Urban/ Urban"
0,0,1,53,1,0,"No",34,"Private",10,"no",3,"No",2,7,0,0,1500,1175,"Yes","F","<High School","Student","Sports Car","Highly Rural/ Rural"
1,3894,0,39,0,12,"No",12,"Private",6,"no",0,"No",0,7,32936,169721,1500,0,"No","F","High School","Clerical","SUV","Highly Urban/ Urban"
0,0,0,38,0,11,"No",31,"Private",13,"no",0,"No",0,9,33151,184852,11530,0,"Yes","F","Bachelors","Professional","SUV","Highly Rural/ Rural"
1,2659,1,45,3,0,"Yes",36,"Private",4,"no",3,"Yes",0,1,0,0,16510,17445,"No","M","High School","Home Maker","Minivan","Highly Urban/ Urban"
0,0,0,46,0,14,"No",73,"Private",10,"no",0,"No",0,9,24575,176282,8560,0,"Yes","F","High School","Home Maker","Sports Car","Highly Rural/ Rural"
0,0,0,43,2,16,"No",49,"Private",10,"yes",0,"No",1,5,32546,200891,5800,0,"Yes","M","<High School","Clerical","Minivan","Highly Urban/ Urban"
0,0,1,54,1,0,"Yes",21,"Private",6,"no",1,"No",6,9,0,0,18820,5537,"No","F","Bachelors","Home Maker","SUV","Highly Urban/ Urban"
0,0,0,55,0,16,"No",44,"Commercial",10,"no",0,"No",3,19,163158,431809,23320,0,"Yes","M","Masters","","Panel Truck","Highly Urban/ Urban"
