"TIF","BLUEBOOK","TRAVTIME","AGE","CAR_AGE","YOJ","INCOME"
4,13740,38,38,16,13,90648
13,10020,48,42,2,11,43175
13,12930,41,31,8,15,30654
6,32090,18,41,18,1,1
4,1500,54,36,11,1,54029
1,12310,18,49,2,14,59149
1,14390,25,47,2,11,81900
10,6120,10,45,2,12,1159
10,22920,25,53,9,16,114089
1,25700,27,51,2,14,80622
3,6900,44,51,2,13,94329
1,42550,37,36,21,12,49704
1,8160,55,43,7,13,54029
13,13160,32,43,2,12,54029
1,13850,31,53,8,14,25290
4,24220,34,40,15,8,95406
3,14030,58,31,6,15,26113
1,14870,40,58,15,13,131561
17,23260,40,50,19,15,90567
7,12240,39,45,2,13,62448
3,12070,39,46,18,6,108702
1,21070,43,47,14,13,94775
1,23190,40,43,8,17,72358
10,28380,47,48,18,12,140113
13,10950,22,39,9,12,19017
7,19810,55,49,2,1,1
1,7990,14,45,2,12,19910
6,7080,35,36,18,12,4886
13,24130,26,59,17,13,119383
4,11380,5,60,16,14,89512
6,6200,32,45,2,14,36948
4,12250,38,34,6,14,27582
17,13420,81,33,6,12,86188
3,22280,61,52,13,13,42256
4,16020,19,53,11,14,37647
1,32530,41,57,10,9,54029
17,16800,40,37,10,12,116044
10,14950,30,45,9,12,89480
1,15120,57,38,5,9,92918
6,8070,32,36,8,8,29742
10,11180,5,51,2,13,3674
6,21770,6,39,13,16,61371
6,2600,46,51,7,14,32160
6,8260,5,40,2,15,20127
3,30260,83,54,10,12,44783
10,10880,56,34,14,15,59829
10,13000,51,41,13,15,74023
4,14860,9,36,16,12,80257
4,22770,28,55,2,15,6095
1,14300,27,45,12,1,1
4,7200,44,45,9,13,30086
4,14520,17,50,12,12,80242
14,27400,43,55,14,13,55674
7,22450,68,44,2,9,32318
6,13320,13,50,9,10,58763
4,7900,34,60,15,16,76900
1,10360,19,40,5,13,48641
7,15760,42,57,9,7,78593
1,7650,41,64,10,14,61522
4,5300,75,34,21,10,105555
11,6700,43,52,18,7,147667
4,23900,30,42,12,4,69291
9,3100,21,45,6,9,2955
6,17480,5,54,19,12,105763
3,13020,28,42,2,12,79186
6,18270,18,56,18,14,111703
6,7700,27,35,2,12,13761
4,20090,63,54,15,14,88669
13,10480,63,50,12,14,2658
1,10470,40,29,10,12,51123
4,11650,19,57,2,13,54029
4,14190,28,44,9,1,1
3,13800,28,38,11,15,83938
1,13340,49,37,11,15,96189
1,13340,32,55,9,15,17821
17,5990,84,51,11,15,62895
1,11750,45,42,13,13,68091
1,6100,34,45,2,5,25033
1,23250,51,54,19,13,52079
13,16730,30,48,10,13,22634
6,4980,32,50,2,1,1
1,20630,44,25,2,10,51545
1,13440,45,35,11,10,72390
1,22340,25,29,2,9,73843
1,6000,33,45,2,1,1
6,10370,34,37,10,15,54029
7,7100,30,56,18,17,109522
6,13060,44,45,2,18,71970
4,24150,43,48,11,11,54029
4,6700,28,52,2,14,37296
1,13780,16,40,6,8,50225
6,29470,50,41,19,14,109958
10,5900,11,44,1,15,44142
4,16580,24,54,14,12,30389
13,5700,36,42,20,13,85753
10,15330,39,50,6,12,8346
1,6350,33,38,6,15,10487
10,14640,68,36,11,13,33285
4,23470,26,62,16,13,33714
3,24120,22,47,2,8,144958
1,6100,5,46,7,9,79318
1,22560,46,42,20,10,64706
6,10160,27,33,2,1,1
1,6960,55,45,15,15,94326
3,22980,28,55,12,15,72338
7,17410,45,41,16,14,157238
1,9960,32,40,2,14,5323
6,17440,56,57,12,16,51738
7,28710,11,64,4,10,38021
1,11480,31,32,2,10,60051
1,22920,16,39,11,12,54029
10,14930,21,37,12,8,97267
6,7980,5,45,6,15,19794
6,14100,23,39,2,15,50876
10,9800,20,41,2,11,32058
4,16370,5,35,2,8,62037
7,11950,54,64,7,16,40529
1,34020,52,46,24,14,266028
17,20540,32,59,19,16,158704
1,5460,37,40,2,13,39601
10,8530,38,43,2,9,67110
13,7210,37,48,13,14,75724
3,6520,47,48,2,1,1
10,16780,39,60,14,16,54029
1,21730,35,59,14,12,186633
4,17960,17,43,16,9,97104
4,14240,41,43,2,1,1
6,8560,11,55,15,1,1
10,7960,14,54,10,13,10618
10,13420,48,35,2,9,33800
13,29220,41,46,14,9,140767
1,4100,10,26,7,1,1
13,11510,45,43,11,12,46225
16,26290,5,43,19,9,91878
10,9060,51,54,16,14,193896
10,26500,36,45,9,1,1
9,25420,41,46,2,12,31178
6,9070,22,47,9,8,28655
1,18540,38,45,10,13,107328
11,11590,52,55,2,9,45919
13,17480,28,53,8,13,106831
4,21320,45,49,11,14,33323
1,4500,22,30,10,1,54029
4,8400,62,47,16,11,15250
6,11300,30,41,2,17,38035
6,9720,70,49,16,15,95157
8,13710,5,31,15,12,110405
1,14210,30,50,9,16,36505
4,24520,36,58,2,12,51871
1,7100,52,56,15,14,125796
6,18850,13,41,12,15,99960
4,15150,32,37,8,8,61791
12,27520,40,57,2,11,33708
3,1500,18,37,2,1,1
1,9260,31,49,2,14,28593
18,11840,20,42,2,14,64767
6,15820,36,38,10,9,81448
3,22720,38,25,10,13,40096
10,14820,21,44,16,6,87073
4,15400,19,20,10,8,19934
6,7420,30,40,2,8,52424
7,19500,37,32,16,13,76986
10,5000,17,35,2,1,1
11,16290,47,37,8,12,80998
1,21840,30,54,6,12,62216
3,5400,42,39,2,13,54715
1,6400,63,49,7,9,37357
1,6300,25,48,11,12,1
4,8530,45,42,2,14,28342
4,8260,20,56,11,14,27969
1,14060,57,48,7,7,52276
6,9360,67,21,2,6,40023
10,6150,47,33,6,13,46454
18,33250,22,38,2,12,122493
6,7090,19,33,6,8,22900
7,38290,37,51,11,12,124551
12,8310,5,45,8,13,100823
10,16250,46,40,20,6,57064
10,10260,26,39,15,13,87563
5,9100,25,19,2,1,1
9,21600,25,49,8,8,40453
4,6240,37,33,7,13,14370
1,29330,35,43,21,12,176022
6,10850,39,48,2,10,43096
6,13660,5,45,7,16,70983
6,14010,39,39,9,11,76151
4,4700,21,32,10,13,52470
6,18230,28,45,10,14,103088
7,16180,10,51,7,1,1
10,9970,59,36,6,12,48711
6,18960,32,72,2,19,27626
10,21010,20,51,7,13,27941
4,14480,21,39,10,14,54299
14,17540,37,45,10,9,45106
7,26280,37,36,9,14,28327
10,8240,46,32,2,14,17546
4,23150,43,57,18,12,159518
7,13970,27,47,2,9,28173
11,28040,40,36,2,14,60098
11,10470,53,43,2,12,19220
1,17820,42,46,17,12,107678
4,18010,29,41,8,7,43890
1,11550,49,55,2,19,49628
1,14360,19,63,12,16,26922
1,7390,47,45,9,13,13892
1,21820,37,35,8,14,64489
1,23800,35,60,9,16,163015
1,19790,30,43,2,1,1
7,9130,25,33,2,10,31676
1,12540,35,37,8,10,6858
1,5560,35,39,2,8,66368
1,18050,33,48,11,13,93659
6,14750,24,45,8,1,1
14,14250,52,56,8,18,29525
10,11490,34,40,14,12,180526
1,8870,45,46,2,14,27670
6,22570,36,43,14,11,68351
7,7900,26,64,10,12,76553
6,12520,32,46,7,12,57457
10,25210,36,39,13,18,173534
4,15310,57,69,12,15,69099
14,15200,23,44,6,8,93042
1,11470,37,39,14,10,69517
16,23980,36,56,12,16,126701
4,16400,35,59,15,15,54029
10,10610,25,57,8,16,34117
1,18760,42,52,11,14,65466
1,6270,53,46,2,15,56850
4,11220,33,51,10,10,46202
4,13160,32,43,14,1,1
1,22880,21,52,17,15,125663
9,15490,47,43,16,16,102263
1,11750,47,47,18,12,18536
4,28750,30,44,3,16,29503
9,15630,30,48,2,11,93304
11,10590,30,33,12,12,250
1,7790,26,41,11,11,24863
1,21520,32,49,8,15,108749
10,15280,32,42,17,11,86597
10,14060,30,33,11,13,92905
9,18530,36,42,11,13,82282
6,9170,35,41,9,12,54029
6,19370,37,51,2,14,62464
1,11940,57,57,12,16,25762
1,27460,29,42,2,12,49225
10,12810,21,46,11,11,41084
7,33440,34,52,7,13,70294
4,13460,48,38,2,10,34320
1,8060,15,43,2,14,22624
5,3500,36,54,4,17,19962
1,20180,22,27,6,12,68494
1,26150,58,56,9,13,279
10,11940,22,48,5,9,137412
5,11610,33,47,15,12,44964
1,4050,29,33,2,12,25545
11,6500,8,50,2,14,94590
6,8370,48,48,9,11,116064
1,11980,41,33,10,1,1
3,3150,24,53,7,13,16537
4,8650,29,58,13,1,1
10,24760,17,49,9,13,66973
1,28960,39,40,9,14,50538
4,33530,40,38,18,12,282293
1,6500,23,49,8,14,83570
1,9210,22,27,2,14,50140
4,15730,25,48,2,15,74598
6,25250,52,47,10,12,92544
4,14440,32,38,2,14,15756
1,12780,29,46,6,13,5421
1,9440,35,50,9,12,109787
14,6210,34,24,14,14,23110
17,11250,44,37,12,7,53896
6,9450,41,38,8,15,54029
1,5800,56,43,9,13,60974
4,10990,17,46,10,9,54029
10,21660,13,36,4,11,85732
10,9970,31,50,7,13,34704
6,10870,45,31,15,4,57018
7,11610,35,47,2,1,1
6,23280,36,42,6,12,14167
9,22700,19,44,13,10,66070
10,11480,52,59,13,1,1
7,9180,65,40,2,16,36847
1,5500,22,40,18,12,164808
1,14060,11,45,10,12,54029
4,7300,29,58,2,1,1
6,1500,56,46,19,13,3930
1,1730,41,32,9,15,2271
4,1500,31,47,8,16,91222
10,6500,29,44,2,13,6036
1,22620,21,44,11,11,146339
6,19450,72,46,7,9,109875
1,33790,13,55,19,9,245499
1,19010,5,43,10,8,33704
13,2740,42,52,2,12,12364
1,11600,65,51,2,11,8901
4,10920,27,47,2,13,47236
16,9400,59,52,14,11,27020
6,19480,5,41,13,11,198601
1,1500,41,67,2,16,2559
3,11920,5,43,2,15,30038
1,5100,34,36,9,16,79458
4,14000,23,58,2,15,37992
4,15620,42,37,11,13,64021
1,1500,47,44,19,12,108413
9,15140,57,51,10,8,94083
1,1500,46,28,8,10,54006
6,31770,25,50,7,13,26749
10,11020,20,44,15,13,92674
9,24660,25,41,10,14,104653
10,15550,12,42,7,11,89053
1,21740,15,37,14,14,133336
4,12420,36,32,10,16,77223
1,17680,41,38,11,15,58834
4,19980,5,42,24,14,58798
1,20150,38,42,6,11,32527
6,7260,43,44,7,15,13588
1,3920,44,44,8,13,24198
10,12420,67,37,9,8,111184
3,26400,36,48,9,15,48867
1,35160,26,52,17,15,207688
4,23600,23,40,2,10,5254
10,4770,49,45,7,14,32723
4,7080,43,32,12,9,54029
11,5700,39,42,9,10,54179
4,4900,31,33,11,1,1
1,10330,16,43,2,17,45349
7,14820,79,43,7,14,45785
7,6200,27,47,19,11,114508
1,34640,48,44,9,12,48375
7,8300,12,50,21,12,54029
3,13370,25,48,2,14,70683
1,7340,41,42,10,11,54029
14,30800,14,51,12,12,40863
3,18010,21,32,10,9,63721
4,6700,19,52,12,13,188149
6,11590,37,41,6,11,19817
1,5400,7,39,11,6,123065
1,24340,35,27,5,9,54029
6,19300,61,53,7,13,48588
6,10150,64,48,8,11,27209
11,6700,29,52,2,14,152005
9,15780,53,53,7,15,47626
18,8140,23,40,2,10,5254
10,6400,40,49,21,8,173243
6,30430,42,59,10,1,1
4,8220,76,34,10,15,5018
1,18910,37,52,12,13,78610
1,13540,14,35,2,12,85431
6,22240,36,46,10,14,161373
6,20520,45,56,13,16,134167
1,27360,42,48,10,12,81085
6,5100,20,36,21,13,204374
3,29990,28,30,2,15,40890
4,7700,42,62,2,17,33996
1,12880,18,50,2,12,113846
1,10940,28,55,15,11,39406
6,2010,5,52,4,12,5110
1,10760,18,46,14,13,9538
1,3900,34,24,17,13,94567
6,21270,5,55,21,14,54029
14,10260,40,33,5,11,39585
4,11030,25,56,2,13,95260
7,14040,44,49,2,9,76400
4,8430,41,52,9,15,57135
4,22780,44,60,23,12,54029
9,6810,16,30,14,15,53141
3,13840,29,36,10,15,80766
10,29580,27,30,8,13,80873
1,14740,5,62,2,16,39954
6,8840,61,59,6,12,8214
6,11080,15,46,10,14,49839
4,4500,33,30,21,12,75892
1,15770,35,42,7,18,69466
4,7650,32,57,9,12,104258
1,10080,23,46,11,1,1
10,19210,50,43,8,12,69652
13,15720,56,50,12,13,92238
1,36080,52,42,9,10,61996
6,24790,29,42,18,8,178454
4,14170,38,38,2,12,22939
14,18350,43,56,7,10,29402
4,14080,50,43,2,11,54029
10,8840,61,52,14,11,47418
11,33490,41,42,20,13,91846
1,6380,44,32,2,11,16119
16,7580,26,42,13,14,172120
18,9430,24,27,8,16,52336
1,3320,23,38,3,11,40181
1,11070,39,46,11,12,89658
4,9230,28,38,2,15,39339
16,5600,21,41,18,1,1
4,18870,23,41,2,11,50332
6,1500,46,42,6,7,68985
7,5900,69,44,10,10,70915
6,16340,27,55,7,14,28197
6,38910,20,39,2,11,198321
4,29040,13,56,15,7,54029
4,6000,30,45,12,8,155991
10,13620,5,50,16,15,5042
7,15520,45,56,20,12,84187
6,2680,62,36,22,1,1
4,13150,24,31,2,9,2178
10,13860,37,40,2,9,55259
5,14830,30,44,5,15,25589
10,15810,52,54,10,9,55743
4,15040,39,54,17,15,81439
7,16990,78,40,12,14,45778
3,16090,22,38,13,11,98121
4,6480,42,42,6,11,36231
6,25980,40,41,14,11,36340
7,27170,14,45,8,19,77866
9,18020,48,53,11,12,97707
6,13010,40,53,13,16,63050
6,8130,30,32,2,15,42668
7,28060,33,42,9,12,43445
10,12870,37,42,11,13,71687
1,5600,60,41,20,1,1
7,13740,27,39,10,15,46879
13,18040,12,27,13,9,78198
10,28840,47,43,9,12,84343
10,29790,67,45,2,10,24179
1,13910,40,43,2,12,44140
1,22680,33,33,16,10,69642
1,17270,5,48,2,16,81941
7,11570,38,52,2,14,16006
9,33880,40,55,10,16,54029
12,20130,18,51,7,14,46382
1,20500,24,47,2,9,51625
7,4500,27,28,11,10,13411
1,20910,34,51,12,12,61667
1,7200,34,47,14,13,64247
14,19930,29,40,2,10,31958
10,5850,5,30,2,12,13491
1,15030,21,53,17,12,82267
4,9210,37,42,17,12,35102
3,16940,52,53,12,14,52020
1,24590,25,43,8,13,2347
1,8230,5,38,15,16,40343
11,21340,42,41,13,14,78371
11,11300,52,28,11,12,70030
1,11750,23,51,6,13,37722
7,21220,50,47,18,10,107415
4,26780,31,46,19,16,45110
6,7990,26,43,5,10,21914
6,12390,43,53,20,3,55891
1,22210,36,46,11,11,70308
1,32020,23,47,23,11,54029
1,18150,32,55,9,16,39423
17,9160,20,50,10,4,87720
13,1500,36,55,9,13,54029
3,8730,46,40,2,12,32266
1,11780,48,47,2,11,55822
1,11370,15,37,14,16,98656
10,15330,9,34,2,12,35137
7,21960,39,44,2,13,54029
4,24390,36,53,19,13,167662
6,12990,21,37,14,11,44706
10,14880,27,53,7,14,54029
1,12160,48,56,16,14,44321
10,26910,39,52,17,14,154957
1,8050,30,58,2,12,7453
1,5730,37,42,12,15,73695
6,17130,74,52,7,14,57537
13,10480,5,45,2,10,44787
6,27820,17,47,13,13,38761
1,14640,15,46,10,14,52956
4,5100,29,34,7,13,33198
1,7470,35,37,2,18,22700
1,12130,34,46,18,11,144449
3,12680,6,30,8,13,28163
6,16570,16,41,9,18,65902
1,9180,36,57,2,1,1
1,24010,30,40,6,17,96614
3,20530,25,36,15,14,46196
1,6800,43,53,17,18,54029
7,18370,43,28,9,9,62295
1,13500,33,46,12,15,99225
22,15140,5,39,8,11,31870
1,19170,23,44,8,15,57858
1,25280,19,38,14,10,57891
10,24490,12,30,8,17,42580
4,12360,46,44,2,5,64618
4,25850,43,37,6,10,101864
1,2190,38,24,10,8,6863
6,14090,41,44,15,15,110557
6,27370,7,57,8,16,66294
1,1500,22,52,8,1,54029
4,2220,21,55,13,11,7232
1,12330,9,49,2,16,95638
6,13660,16,52,27,13,82600
9,16010,11,51,2,16,58185
1,28140,38,51,12,12,122935
13,14370,42,48,10,13,80658
6,15550,23,48,2,11,19719
1,6880,21,45,8,1,1
10,14370,43,51,10,15,77729
9,14110,34,53,13,17,73057
1,24430,54,46,17,11,93544
7,20320,14,54,17,13,1591
6,4600,32,31,12,10,17646
4,5550,54,47,17,14,40461
10,3050,14,51,2,13,15543
1,11710,52,38,2,6,25124
1,11480,20,47,12,15,52815
4,17600,25,45,5,11,116019
7,21530,43,52,18,7,147667
6,11660,28,50,11,12,92322
1,13270,36,47,15,12,86435
6,5000,48,27,2,10,7990
6,28930,64,42,23,14,129275
1,6420,46,25,16,10,24235
1,6500,28,46,11,12,1
6,11570,43,36,24,10,64678
6,12300,43,44,6,16,74484
11,18130,28,49,16,10,117253
7,27520,23,41,19,16,105564
1,13220,38,54,2,14,63213
1,26000,8,46,19,15,39076
1,22260,18,46,7,14,62887
4,20990,23,40,2,15,33151
2,16090,29,33,20,12,112944
4,20010,48,45,9,11,36366
6,13840,34,36,2,11,35991
11,19380,55,50,22,13,102192
11,22500,28,44,6,13,19238
13,23910,20,46,10,9,132768
9,20870,40,35,16,11,99326
4,1500,44,47,18,12,183411
1,14350,34,59,13,19,69484
4,19220,46,37,18,12,55342
10,5600,31,41,22,11,130608
6,20470,31,43,17,5,135158
6,14820,38,30,12,12,132464
6,36390,38,43,14,10,215537
1,36690,42,50,17,10,180784
1,12620,25,40,14,13,71238
6,18050,51,51,2,17,36432
10,8690,48,40,11,1,1
1,10580,26,33,2,15,58974
4,24440,14,37,18,11,107766
1,5370,50,35,2,14,8747
10,18980,37,26,2,10,53983
11,6690,37,42,2,16,9951
4,13120,26,35,2,9,32995
10,15890,27,55,12,12,44428
3,6400,52,49,10,1,1
1,5300,43,37,9,10,6479
4,28510,12,48,21,9,117339
9,12520,61,55,13,14,74386
6,19670,30,43,9,15,54029
6,33010,20,62,21,10,133131
9,37580,22,47,2,9,76135
20,22520,36,36,7,5,75588
1,10710,31,44,7,12,48089
10,30280,34,48,12,12,136009
10,12470,24,31,6,13,14065
1,24530,28,40,15,12,84000
4,13890,45,40,11,14,37959
6,13840,46,39,2,1,54029
1,4800,49,33,2,12,13813
12,14890,25,37,15,12,90296
1,14740,56,51,16,15,121901
11,18390,32,35,22,6,71425
7,15080,39,38,11,13,97822
1,20350,39,48,9,16,24504
1,5600,50,41,2,10,18940
7,5960,38,44,18,14,102873
1,10120,28,32,9,1,1
1,4000,37,25,2,1,1
1,6300,29,48,13,13,30378
1,15500,5,36,2,16,7586
4,11710,74,41,12,16,44225
1,24950,5,43,14,8,83551
6,6400,42,49,7,7,8253
7,26520,43,30,14,13,106723
17,26710,43,43,8,15,12285
1,20160,55,52,2,14,92183
10,9210,54,35,8,11,49300
6,9420,37,42,2,9,57380
4,11830,35,41,2,14,54029
6,17940,5,46,11,6,40265
14,3900,58,24,7,12,1
1,25750,51,42,10,10,44662
7,15950,24,45,16,12,78797
3,6520,53,23,2,11,27240
1,11370,42,37,6,10,592
7,28400,19,45,9,7,131149
6,16830,43,65,14,1,1
1,31370,11,45,21,15,227093
6,14830,31,45,17,14,103094
4,16820,30,45,13,10,107538
4,38340,60,55,17,13,87794
15,22150,26,42,7,14,42892
1,12410,42,43,15,13,66102
10,11550,51,54,10,17,19395
4,6400,5,49,12,17,70498
1,17370,40,26,10,12,28727
1,12770,24,30,2,12,112688
4,28250,52,59,2,14,83938
4,8700,28,33,2,15,54110
1,24510,23,45,15,17,63480
6,18400,32,45,3,17,32960
10,19960,21,39,13,11,106945
11,7930,10,44,18,7,84737
11,13450,51,56,5,15,63536
10,12710,30,50,7,8,62070
4,7210,47,31,9,11,26120
11,16870,16,57,15,8,93871
1,20590,40,57,14,11,216986
6,33400,31,51,11,12,54921
4,8550,17,49,12,14,66197
4,21030,66,47,13,12,77502
13,21130,23,38,13,16,136335
10,27040,18,70,7,15,12281
1,41180,18,53,17,13,176038
1,30580,49,58,18,14,103556
1,5480,7,39,2,14,54029
4,4700,24,32,9,1,1
9,23340,40,37,23,10,67176
4,5540,24,48,2,10,40409
4,19720,25,37,14,12,24448
6,13050,40,44,19,17,35795
1,38120,23,47,17,13,143717
10,13210,24,45,11,14,72728
10,25520,22,54,15,13,54029
1,6500,50,50,17,13,227494
17,7820,22,47,2,12,63240
1,21950,26,39,10,14,26841
10,14300,49,40,12,12,87968
1,28670,36,38,18,10,100356
1,11740,26,41,21,10,54029
4,22420,88,58,2,14,86648
6,15480,18,54,15,12,70009
1,6200,36,47,5,6,68603
1,1500,11,29,7,9,62117
1,13790,71,50,2,12,72931
10,15520,45,46,12,4,16718
1,6610,18,41,2,1,1
9,19750,26,41,8,11,54029
6,13030,42,46,8,12,69351
6,10190,48,49,17,12,99293
1,18820,27,53,7,14,173219
6,20320,45,46,14,15,54341
6,5700,37,42,10,14,49121
1,10500,22,38,2,13,26075
9,11710,10,57,12,15,18307
1,15200,39,53,2,14,17425
1,10750,9,40,17,17,52476
6,21230,58,40,19,11,157264
1,11810,41,62,16,17,103110
14,19200,19,47,8,12,92215
4,33640,39,46,15,14,63554
1,14500,35,45,10,1,1
4,24510,32,39,10,7,98998
7,13410,23,35,9,15,27447
4,20150,21,45,2,13,37847
4,17220,29,49,15,11,75581
10,2330,13,35,8,13,8277
19,15570,46,54,17,16,130242
1,31830,33,42,12,12,54029
1,6500,31,50,17,12,104832
6,13130,39,56,14,1,1
4,28710,21,41,9,13,95077
4,1500,44,42,5,13,109099
6,28610,33,48,2,12,105300
1,23060,71,27,7,14,166856
10,3600,55,21,2,1,1
1,16840,27,41,2,1,1
9,17520,46,49,20,1,1
6,20640,5,25,13,13,78063
1,11830,36,42,2,9,61323
6,19580,40,42,18,12,97055
11,21520,46,41,18,9,175784
1,12030,23,42,13,12,63181
7,12260,40,41,12,10,37524
11,16390,5,37,7,9,73898
1,4500,21,30,8,1,1
1,17530,28,52,14,15,135117
3,18050,48,50,2,14,36606
10,14910,16,50,13,13,54029
4,11330,39,27,5,1,1
6,36420,46,36,9,12,121392
10,25940,57,46,7,1,1
10,17970,33,36,2,12,30072
1,38940,17,49,21,12,54029
3,18130,13,42,11,12,68172
6,7900,60,64,9,1,1
6,5000,21,35,14,1,1
10,14010,25,47,19,14,78120
1,17200,23,57,21,14,99986
1,6720,12,29,7,1,1
1,6100,7,46,16,10,107007
4,20570,26,37,6,15,66377
1,23630,35,56,9,1,1
7,12850,66,61,12,15,52530
10,7730,50,39,2,14,92001
1,14590,39,42,10,8,130883
1,16150,45,29,10,14,36709
4,10450,38,49,20,7,89548
4,20280,26,45,15,14,79721
7,26780,31,58,13,15,131659
3,8870,13,50,12,14,73669
10,6820,24,35,2,15,5629
6,8620,38,39,2,12,32189
3,22660,49,37,8,13,97672
1,1500,59,55,7,13,43294
4,24750,20,55,18,12,83091
3,15730,5,54,6,4,27547
1,10440,37,42,10,12,49121
10,22690,61,45,9,11,59198
6,24740,35,44,15,12,188429
